model_name,author,model_class,params,hash,license,task,groq_chips_used,groq_estimated_latency,nvidia_latency,x86_latency,onnx_exported,onnx_optimized,onnx_converted
adv_inception_v3,timm,InceptionV3,23834568,4599a3df,-,Computer_Vision,-,-,-,-,True,False,False
blenderbot_small,transformers,BlenderbotSmallModel,85113344,d65dd9e3,-,Natural_Language_Processing,-,-,-,-,True,False,False
cait_xxs36_384,timm,Cait,17372680,84847ea4,-,Computer_Vision,-,-,-,-,True,False,False
convnext_large_384_in22ft1k,timm,ConvNeXt,197767336,d5587236,-,Computer_Vision,-,-,-,-,True,False,False
convnext_large,torch_hub,ConvNeXt,197767336,af479213,-,Computer_Vision,-,-,-,-,True,False,False
crossvit_15_240,timm,CrossVit,27528464,a9be66f7,-,Computer_Vision,-,-,-,-,True,False,False
cs3darknet_focus_l,timm,CspNet,21151720,e804593d,-,Computer_Vision,-,-,-,-,True,False,False
cspresnet50d,timm,CspNet,21635400,011d08d1,-,Computer_Vision,-,-,-,-,True,False,False
deit3_large_patch16_224,timm,VisionTransformer,304374760,67cb5ebf,-,Computer_Vision,-,-,-,-,True,False,False
distil_wav2vec2_for_audio_classification,transformers,Wav2Vec2ForSequenceClassification,37866114,cd811c97,-,Audio,-,-,-,-,True,False,False
dla102,timm,DLA,33268888,fd2b8c73,-,Computer_Vision,-,-,-,-,True,False,False
dpn107,timm,DPN,86917800,8628d562,-,Computer_Vision,-,-,-,-,True,False,False
ecaresnet26t,timm,ResNet,16011916,419d6fbf,-,Computer_Vision,-,-,-,-,True,False,False
ecaresnext26t_32x4d,timm,ResNet,15406220,8f4af757,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_b0_gn,timm,EfficientNet,5288548,574d385b,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_b8,timm,EfficientNet,87413142,4e13e201,-,Computer_Vision,-,-,-,-,True,False,False
ese_vovnet19b_dw,timm,VovNet,6543080,79e906fb,-,Computer_Vision,-,-,-,-,True,False,False
fbnetc_100,timm,EfficientNet,5572200,b15196f4,-,Computer_Vision,-,-,-,-,True,False,False
ghostnet_100,timm,GhostNet,5182508,e949381f,-,Computer_Vision,-,-,-,-,True,False,False
gluon_resnet50_v1d,timm,ResNet,25576264,8e82e34f,-,Computer_Vision,-,-,-,-,True,False,False
halonet26t,timm,ByobNet,12480288,b3c313ff,-,Computer_Vision,-,-,-,-,False,False,False
hrnet_w18_small_v2,timm,HighResolutionNet,15597464,9e336f32,-,Computer_Vision,-,-,-,-,True,False,False
inception_v3,torch_hub,Inception3,27161264,46db3db5,-,Computer_Vision,-,-,-,-,True,False,False
jx_nest_base,timm,Nest,67723368,1432e562,-,Computer_Vision,-,-,-,-,True,False,False
legacy_seresnet34,timm,SENet,21958868,116b48b2,-,Computer_Vision,-,-,-,-,True,False,False
marianmt,transformers,MarianMTModel,105605120,f4dcd1cc,-,Natural_Language_Processing,-,-,-,-,True,False,False
mixer_b16_224,timm,MlpMixer,59880472,e4238434,-,Computer_Vision,-,-,-,-,True,False,False
mnasnet_a1,timm,EfficientNet,3887038,e1760261,-,Computer_Vision,-,-,-,-,True,False,False
mobilenetv3_small_075,timm,MobileNetV3,2041872,35390010,-,Computer_Vision,-,-,-,-,True,False,False
mobilevit_xs,timm,ByobNet,2317848,fbf374df,-,Computer_Vision,-,-,-,-,True,False,False
nfnet_f5,timm,NormFreeNet,377214072,bebcdec4,-,Computer_Vision,-,-,-,-,True,False,False
perceiver,transformers,PerceiverModel,259897728,a4732115,-,MultiModal,-,-,-,-,True,False,False
regnet_x_400mf,torch_hub,RegNet,5495976,08b8712e,-,Computer_Vision,-,-,-,-,True,False,False
regnet_y_1_6gf,torch_hub,RegNet,11202430,993181bc,-,Computer_Vision,-,-,-,-,True,False,False
regnety_006,timm,RegNet,6055160,b00d673a,-,Computer_Vision,-,-,-,-,True,False,False
regnetz_040,timm,RegNet,27116800,69eefcdd,-,Computer_Vision,-,-,-,-,True,False,False
repvgg_b3g4,timm,ByobNet,83825128,90a59166,-,Computer_Vision,-,-,-,-,True,False,False
resmlp_24_distilled_224,timm,MlpMixer,30020680,d0723612,-,Computer_Vision,-,-,-,-,True,False,False
resnet101,timm,ResNet,44549160,57509176,-,Computer_Vision,-,-,-,-,True,False,False
resnet34,timm,ResNet,21797672,3765d65b,-,Computer_Vision,-,-,-,-,True,False,False
resnet34,torch_hub,ResNet,21797672,85df0c4a,-,Computer_Vision,-,-,-,-,True,False,False
resnetblur50d,timm,ResNet,25576264,36a4a16a,-,Computer_Vision,-,-,-,-,True,False,False
resnetv2_101x3_bitm,timm,ResNetV2,387934888,9f47832f,-,Computer_Vision,-,-,-,-,True,False,False
resnetv2_50x1_bitm_in21k,timm,ResNetV2,68256659,3a2ddad2,-,Computer_Vision,-,-,-,-,True,False,False
rexnetr_100,timm,RexNet,4883304,a199d012,-,Computer_Vision,-,-,-,-,True,False,False
semnasnet_050,timm,EfficientNet,2082006,51de41b1,-,Computer_Vision,-,-,-,-,True,False,False
seresnet269d,timm,ResNet,113672760,6f44984a,-,Computer_Vision,-,-,-,-,True,False,False
ssl_resnext101_32x8d,timm,ResNet,88791336,a37f8b3b,-,Computer_Vision,-,-,-,-,True,False,False
swinv2_base_window12_192_22k,timm,SwinTransformerV2,109280841,29cdf8cc,-,Computer_Vision,-,-,-,-,True,False,False
swinv2_cr_small_ns_224,timm,SwinTransformerV2Cr,49696444,83b700db,-,Computer_Vision,-,-,-,-,True,False,False
swsl_resnet18,timm,ResNet,11689512,495787f5,-,Computer_Vision,-,-,-,-,True,False,False
tagconv,graph_convolutions,TAGConv,40131,0b552e73,-,Graph_Machine_Learning,-,-,-,-,True,False,False
tf_efficientnet_b1_ap,timm,EfficientNet,7794184,7f9dd6b7,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnet_b5,timm,EfficientNet,30389784,7b238643,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnet_es,timm,EfficientNet,5438392,dd929d7a,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnetv2_l_in21ft1k,timm,EfficientNet,118515272,65b962b5,-,Computer_Vision,-,-,-,-,True,False,False
tf_mobilenetv3_large_minimal_100,timm,MobileNetV3,3924288,50ae61f0,-,Computer_Vision,-,-,-,-,True,False,False
tv_resnet152,timm,ResNet,60192808,d48a3c83,-,Computer_Vision,-,-,-,-,True,False,False
vgg11,torch_hub,VGG,132863336,b38617af,-,Computer_Vision,-,-,-,-,True,False,False
visformer_small,timm,Visformer,40219592,b0b2b339,-,Computer_Vision,-,-,-,-,True,False,False
vit_base_patch8_224_dino,timm,VisionTransformer,85807872,7b86d3c3,-,Computer_Vision,-,-,-,-,True,False,False
vit_l_32,torch_hub,VisionTransformer,306535400,f137eddc,-,Computer_Vision,-,-,-,-,True,False,False
vit_large_patch14_224,timm,VisionTransformer,304203752,5e32920d,-,Computer_Vision,-,-,-,-,True,False,False
vit_relpos_base_patch16_rpn_224,timm,VisionTransformerRelPos,86411128,338766d3,-,Computer_Vision,-,-,-,-,True,False,False
vit_small_patch16_384,timm,VisionTransformer,22196584,8d8c48b1,-,Computer_Vision,-,-,-,-,True,False,False
vit_tiny_r_s16_p8_224_in21k,timm,Sequential,9536,8996bd1b,-,Computer_Vision,-,-,-,-,True,False,False
vit_tiny_r_s16_p8_224_in21k,timm,VisionTransformer,10360403,c61e296c,-,Computer_Vision,-,-,-,-,True,False,False
wide_resnet101_2,timm,ResNet,126886696,96324b0a,-,Computer_Vision,-,-,-,-,True,False,False
xcit_medium_24_p8_224_dist,timm,Xcit,84323624,c2f7218b,-,Computer_Vision,-,-,-,-,True,False,False
xcit_small_24_p8_224,timm,Xcit,47631112,e4afc4cf,-,Computer_Vision,-,-,-,-,True,False,False
bat_resnext26ts,timm,ByobNet,10731200,3664dcf3,-,Computer_Vision,-,-,-,-,True,False,False
bert_for_question_answering,transformers,BertForQuestionAnswering,334094338,64bce7df,-,Natural_Language_Processing,-,-,-,-,True,False,False
coat_lite_mini,timm,CoaT,11011560,7bbac2ac,-,Computer_Vision,-,-,-,-,True,False,False
convmixer_1536_20,timm,ConvMixer,51625960,833fc12b,-,Computer_Vision,-,-,-,-,False,False,False
convnext_small_in22ft1k,timm,ConvNeXt,50223688,ee1f18c3,-,Computer_Vision,-,-,-,-,True,False,False
convnext_small,torch_hub,ConvNeXt,50223688,32bd6900,-,Computer_Vision,-,-,-,-,True,False,False
crossvit_15_dagger_240,timm,CrossVit,28209008,2cb3a256,-,Computer_Vision,-,-,-,-,True,False,False
cs3darknet_focus_m,timm,CspNet,9304360,929dbbb3,-,Computer_Vision,-,-,-,-,True,False,False
cspresnet50,timm,CspNet,21616168,21932b67,-,Computer_Vision,-,-,-,-,True,False,False
deit3_large_patch16_384_in21ft1k,timm,VisionTransformer,304763880,67cb5ebf,-,Computer_Vision,-,-,-,-,True,False,False
dla102x2,timm,DLA,41282200,1366d993,-,Computer_Vision,-,-,-,-,True,False,False
dpn131,timm,DPN,79254504,fd990ebe,-,Computer_Vision,-,-,-,-,True,False,False
eca_resnet33ts,timm,ByobNet,19676302,20d11e27,-,Computer_Vision,-,-,-,-,True,False,False
eca_resnext26ts,timm,ByobNet,10297988,f0d5e6cd,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_b0,timm,EfficientNet,5288548,2bfbb9b7,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_cc_b0_4e,timm,EfficientNet,13314116,59df3def,-,Computer_Vision,-,-,-,-,True,False,False
efficientnet_lite2,timm,EfficientNet,6092072,d8f39ced,-,Computer_Vision,-,-,-,-,True,False,False
ese_vovnet39b_evos,timm,VovNet,24579144,06d27099,-,Computer_Vision,-,-,-,-,True,False,False
ghostnet_050,timm,GhostNet,2587292,76b6721a,-,Computer_Vision,-,-,-,-,True,False,False
gluon_resnet50_v1c,timm,ResNet,25576264,fa117c08,-,Computer_Vision,-,-,-,-,True,False,False
gmlp_s16_224,timm,MlpMixer,19422656,ee2794bd,-,Computer_Vision,-,-,-,-,True,False,False
gpt2_doublehead,transformers,GPT2DoubleHeadsModel,124440577,7befd733,-,Generative_AI,-,-,-,-,True,False,False
hrnet_w30,timm,HighResolutionNet,37712220,6f765722,-,Computer_Vision,-,-,-,-,True,False,False
imagegpt,transformers,ImageGPTModel,76420096,3b5850cc,-,Generative_AI,-,-,-,-,False,False,False
lambda_resnet50ts,timm,ByobNet,21536832,d7076098,-,Computer_Vision,-,-,-,-,True,False,False
levit_256,timm,LevitDistilled,18893876,3e4dd7b7,-,Computer_Vision,-,-,-,-,True,False,False
mixnet_s,timm,EfficientNet,4134606,d1fb21db,-,Computer_Vision,-,-,-,-,True,False,False
mobilenet_v3_large,torch_hub,MobileNetV3,5483032,00777649,-,Computer_Vision,-,-,-,-,True,False,False
mobilenetv2_100,timm,EfficientNet,3504872,c7096d5f,-,Computer_Vision,-,-,-,-,True,False,False
mobilevit,transformers,MobileViTModel,4937632,47b02614,-,Computer_Vision,-,-,-,-,True,False,False
mobilevitv2_125,timm,ByobNet,7478089,a7761015,-,Computer_Vision,-,-,-,-,True,False,False
nf_ecaresnet101,timm,NormFreeNet,44549331,7e1cd2ad,-,Computer_Vision,-,-,-,-,True,False,False
nf_regnet_b5,timm,NormFreeNet,49741728,93de3053,-,Computer_Vision,-,-,-,-,True,False,False
pegasus,transformers,PegasusModel,406287360,b92cca23,-,Natural_Language_Processing,-,-,-,-,True,False,False
pit_xs_224,timm,PoolingVisionTransformer,10618888,da9851a8,-,Computer_Vision,-,-,-,-,True,False,False
regnet_y_32gf,torch_hub,RegNet,145046770,16e3920e,-,Computer_Vision,-,-,-,-,True,False,False
regnetx_004,timm,RegNet,5157512,e07cdbb4,-,Computer_Vision,-,-,-,-,True,False,False
regnety_002,timm,RegNet,3162996,b4509259,-,Computer_Vision,-,-,-,-,True,False,False
regnety_080,timm,RegNet,39180068,e6e4db56,-,Computer_Vision,-,-,-,-,True,False,False
regnetz_e8,timm,ByobNet,57698176,f2df2800,-,Computer_Vision,-,-,-,-,True,False,False
resmlp_12_224,timm,MlpMixer,15350872,371923e5,-,Computer_Vision,-,-,-,-,True,False,False
resnest26d,timm,ResNet,17069448,002b9f60,-,Computer_Vision,-,-,-,-,True,False,False
resnet152,torch_hub,ResNet,60192808,c732f780,-,Computer_Vision,-,-,-,-,True,False,False
resnet18d,timm,ResNet,11708744,cd99cd15,-,Computer_Vision,-,-,-,-,True,False,False
resnet50,timm,ResNet,25557032,25cce11f,-,Computer_Vision,-,-,-,-,True,False,False
resnetrs350,timm,ResNet,163956168,fa4f76b5,-,Computer_Vision,-,-,-,-,True,False,False
resnetv2_50x1_bitm,timm,ResNetV2,25549352,6246da40,-,Computer_Vision,-,-,-,-,True,False,False
rexnet_150,timm,RexNet,9728593,53c804c0,-,Computer_Vision,-,-,-,-,True,False,False
seresnet18,timm,ResNet,11779624,cd9ef842,-,Computer_Vision,-,-,-,-,True,False,False
seresnext101_32x4d,timm,ResNet,48955416,0917deef,-,Computer_Vision,-,-,-,-,True,False,False
swinv2_cr_small_224,timm,SwinTransformerV2Cr,49695100,746e8dd2,-,Computer_Vision,-,-,-,-,True,False,False
swinv2_tiny_window16_256,timm,SwinTransformerV2,28347154,d6507553,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnet_b0_ns,timm,EfficientNet,5288548,1316894e,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnet_b5_ap,timm,EfficientNet,30389784,7b238643,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnet_el,timm,EfficientNet,10589712,4afd1658,-,Computer_Vision,-,-,-,-,True,False,False
tf_efficientnetv2_b3,timm,EfficientNet,14358406,c5ecf4fa,-,Computer_Vision,-,-,-,-,True,False,False
tf_mixnet_l,timm,EfficientNet,7329252,bf323d0b,-,Computer_Vision,-,-,-,-,True,False,False
tinynet_c,timm,EfficientNet,2457234,407488ad,-,Computer_Vision,-,-,-,-,True,False,False
twins_pcpvt_small,timm,Twins,24106216,12bac29e,-,Computer_Vision,-,-,-,-,True,False,False
vgg13,torch_hub,VGG,133047848,20ce33fd,-,Computer_Vision,-,-,-,-,True,False,False
vit_base_patch16_18x2_224,timm,VisionTransformer,256731880,cd39c77d,-,Computer_Vision,-,-,-,-,True,False,False
vit_large_patch16_224_in21k,timm,VisionTransformer,325690707,d752df24,-,Computer_Vision,-,-,-,-,True,False,False
vit_relpos_base_patch32_plus_rpn_256,timm,VisionTransformerRelPos,119423760,20606458,-,Computer_Vision,-,-,-,-,True,False,False
vit_small_patch32_224_in21k,timm,VisionTransformer,30903507,9b922298,-,Computer_Vision,-,-,-,-,True,False,False
vit_tiny_r_s16_p8_224,timm,VisionTransformer,6337704,7a2eb256,-,Computer_Vision,-,-,-,-,True,False,False
vit_tiny_r_s16_p8_224,timm,Sequential,9536,8996bd1b,-,Computer_Vision,-,-,-,-,True,False,False
wide_resnet101_2,torch_hub,ResNet,126886696,0eb07645,-,Computer_Vision,-,-,-,-,True,False,False
wide_resnet50_2,timm,ResNet,68883240,99c5b776,-,Computer_Vision,-,-,-,-,True,False,False
xcit_medium_24_p16_224,timm,Xcit,84395752,703f1ad1,-,Computer_Vision,-,-,-,-,True,False,False
xcit_small_12_p8_384_dist,timm,Xcit,26213032,f67c1b22,-,Computer_Vision,-,-,-,-,True,False,False
xcit_tiny_24_p8_224,timm,Xcit,12107128,cd70f4ad,-,Computer_Vision,-,-,-,-,True,False,False
cait_xxs24_224,timm,Cait,11956264,c0954404,-,Computer_Vision,-,-,-,-,True,False,False
convit_tiny,timm,ConVit,5710512,94f654b9,-,Computer_Vision,-,-,-,-,True,False,False
convnext_nano_ols,timm,ConvNeXt,15649560,d0fd3854,-,Computer_Vision,-,-,-,-,True,False,False
convnext_tiny,torch_hub,ConvNeXt,28589128,4f884eed,-,Computer_Vision,-,-,-,-,True,False,False
convnext,transformers,ConvNextModel,27820128,80414def,-,Computer_Vision,-,-,-,-,True,False,False
convnext_xlarge_384_in22ft1k,timm,ConvNeXt,350196968,1db5dd43,-,Computer_Vision,-,-,-,-,True,False,False
cs3sedarknet_l,timm,CspNet,21913592,9538eaf4,-,Computer_Vision,-,-,-,-,True,False,False
deit3_base_patch16_224,timm,VisionTransformer,86585320,9716f948,-,Computer_Vision,-,-,-,-,True,False,False
deit_base_patch16_384,timm,VisionTransformer,86859496,5a3b76a4,-,Computer_Vision,-,-,-,-,True,False,False
distilbert,transformers,DistilBertModel,66362880,38518005,-,Natural_Language_Processing,-,-,-,-,True,False,False
dla102x,timm,DLA,26309272,3fc4d6d7,-,Computer_Vision,-,-,-,-,True,False,False
dpn68b,timm,DPN,12611602,29a6bf4e,-,Computer_Vision,-,-,-,-,True,False,False
